date,open,high,low,close,volume
2022-01-03,11.791732452561709,11.894997889161338,11.743643224456843,11.837651765148228,7844311.359115152
2022-01-04,11.812792707902002,11.921550547388454,11.782819066243897,11.886920635333095,3727792.8156205453
2022-01-05,12.499836065589433,12.59099049776912,12.434567061178306,12.459818298971665,8536775.050896991
2022-01-06,12.41967223520177,12.537566869500727,12.345911522857001,12.403299442823766,8425928.434748307
2022-01-07,12.563514859619822,12.685640801667711,12.53184244764851,12.592306060927562,1457475.6298073716
2022-01-10,12.357442320820516,12.413563612739454,12.272906574521539,12.34375749479801,3244293.7405725704
2022-01-11,12.240751509807428,12.38397226814225,12.206084596721848,12.303019627601829,6002669.652159276
2022-01-12,11.896170532268822,11.95272071327963,11.843323351259945,11.882865339581961,2904110.7479477897
2022-01-13,12.349109673018456,12.480327680015293,12.251310142436168,12.371063223527926,9891154.612087443
2022-01-14,12.34360377924535,12.430416742312367,12.293759921726233,12.315142186741134,7268271.201444916
2022-01-17,12.310260360770362,12.405558587159131,12.256262531797608,12.338025418606314,5258187.52571025
2022-01-18,12.175434271295753,12.29084039912095,12.151189933002087,12.177651518465552,1459402.5692317463
2022-01-19,11.95096746446605,12.029231062172414,11.886970414933788,11.941659500488624,9608220.989782436
2022-01-20,11.748713525939577,11.774971356236845,11.639214449107753,11.745746784401891,1520091.8510518738
2022-01-21,11.633065185154022,11.746891772657644,11.576535980095676,11.61408532665857,3818517.186872871
2022-01-24,11.655830517082919,11.830892449278275,11.546880581256712,11.73826053560506,4710610.762446014
2022-01-25,11.921926512576388,12.018494173919755,11.827850382102326,11.911622301599175,2988860.215159322
2022-01-26,11.797745445994286,11.859929659102592,11.655971959231422,11.761388663606663,4782952.457023086
2022-01-27,11.875544978749096,11.984209281654497,11.827267547452504,11.842543485371966,7056363.64229152
2022-01-28,11.66487497372152,11.816489957696202,11.641992185664302,11.715862108518547,3948600.9953592853
2022-01-31,11.941194811789218,11.968680958593735,11.90766231580471,11.932829308411389,8111556.13015607
2022-02-01,12.329907894493909,12.454010246610789,12.21364223437552,12.35613348067099,5732568.607889723
2022-02-02,12.087810537594555,12.134499747524124,11.998169170128957,12.078794684606976,3023947.469589537
2022-02-03,11.938105411115773,11.952817483594472,11.916162115751211,11.943110759423735,1312054.2267918694
2022-02-04,12.2702478298921,12.286759297169517,12.067026596539709,12.144113789716684,2120785.1513284063
2022-02-07,11.87786632805703,11.903139526843239,11.795814734019968,11.894671569050882,9543420.916987421
2022-02-08,11.810859710019804,11.924326221303946,11.747538567506716,11.750272494682495,2771463.8562827287
2022-02-09,11.406505971227284,11.532522607105994,11.316020763521967,11.468996339395346,2895659.1277591735
2022-02-10,10.981756848781254,11.115367801018051,10.976034077035393,11.03806521558852,2298904.298759205
2022-02-11,11.310426773213505,11.380239458279586,11.170613412338357,11.212422681908304,5778995.582579954
2022-02-14,11.25071561067336,11.50280396678682,11.245966929264618,11.391142864550691,4045701.8011620794
2022-02-15,11.25635882087961,11.264816340275564,11.091389347668983,11.174133985263232,3358659.65672152
2022-02-16,11.139911093911048,11.197432780919167,11.091664792910573,11.151922162911116,8558936.152834514
